[0001] 2026-04-22 01:48:02.285  X=+329.549mm  Y=-162.753mm  Z=+248.585mm  RX=-171.017°  RY=+14.650°  RZ=+163.792°
[0002] 2026-04-22 01:48:07.274  X=+334.300mm  Y=+212.924mm  Z=+190.367mm  RX=-176.366°  RY=+7.975°  RZ=-141.210°
[0003] 2026-04-22 01:48:20.245  X=-40.642mm  Y=-34.324mm  Z=+281.089mm  RX=-134.394°  RY=+65.345°  RZ=-142.706°
[0004] 2026-04-22 01:48:29.429  X=+27.620mm  Y=-110.112mm  Z=+311.676mm  RX=-94.739°  RY=+51.683°  RZ=-84.637°


[0001] 2026-04-22 01:51:33.216  X=+347.026mm  Y=+117.542mm  Z=+165.302mm  RX=+171.498°  RY=+20.463°  RZ=-169.215°
[0002] 2026-04-22 01:51:39.048  X=+323.026mm  Y=-155.691mm  Z=+174.150mm  RX=-174.981°  RY=+18.389°  RZ=+162.600°
[0003] 2026-04-22 01:52:05.928  X=+611.122mm  Y=+32.716mm  Z=+249.499mm  RX=-45.628°  RY=+79.685°  RZ=-41.797°

[0001] 2026-04-22 01:55:30.877  X=+10.046mm  Y=+10.602mm  Z=+212.469mm  RX=-173.927°  RY=+34.784°  RZ=-159.744°
[0002] 2026-04-22 01:55:35.897  X=+179.748mm  Y=+10.337mm  Z=+209.549mm  RX=-174.107°  RY=+46.954°  RZ=-166.493°
